"Date","investment_tv","investment_radio","investment_press","investment_banners","investment_online","stores_opened","economy_index","investment_competition","public_holidays","brand_knowledge","christmas_dummy","weather_index","investment_competition_1","investment_competition_2","precipitation_index","competitor_recognition_1","competitor_recognition_2","YearWeek","sales"
2019-01-13,0,0,236810.923657788,0,470422.914821123,162,24750.2,7395715.678,0,0.763607438,0,72.85714286,13801090.77,7411208.077,25.4,0.387536029,0.492274902,201903,41661325.7808184
2019-01-20,0,0,91712.7554332847,0,608896.144259691,162,24860.2,10298819.43,0,0.760491073,0,70.87,10537786.59,10314311.82,10.44285714,0.373256,0.407048726,201904,42009048.334347
2019-01-27,0,0,42688.1102524305,100783.431298947,653162.490659427,161,25193.2,4727024.637,0,0.694775243,0,73.88714286,9733578.941,4756658.18,21.62857143,0.477105832,0.4876246,201905,40405961.7093319
2019-02-03,0,0,349257.018980335,254250.024342004,714840.67326737,161,25439,10088009.79,0,0.729317474,0,70.82428571,5376697.412,10144088.2,9.514285714,0.458410278,0.463390169,201906,41870382.7088573
2019-02-10,0,0,273978.86723317,244342.785142446,772694.54452873,161,25883.7,9495632.835,0,0.771005598,0,65.82142857,4841299.298,9542881.088,7.028571429,0.42094797,0.499110591,201907,43697170.0860105
2019-02-17,0,0,194997.349873274,265071.690910296,756812.233947849,161,26052.9,17178469.44,0,0.778816868,0,66.85571429,1678848.053,17144766.18,7.371428571,0.370347065,0.468874152,201908,41790299.5639583
2019-02-24,0,0,160840.375956574,155438.486601565,690230.195511764,159,26241.4,1651311.895,0,0.76308563,0,61.38285714,16299825.82,1814834.831,5.428571429,0.497043807,0.494209117,201909,42272224.2887896
2019-03-03,1007208.61548562,0,0,0,275758.848589592,158,26156,11512235.6,0,0.780022134,0,68.50428571,23172397.99,404950.2179,17.54285714,0.49353433,0.448361886,201910,41973600.5509168
2019-03-10,760360.697458443,0,0,0,233318.045705932,158,25927.9,9746461.489,0,0.768808706,0,72.36142857,27011960.38,617950.2179,27.07142857,0.471513201,0.444779677,201911,40713651.9763816
2019-03-17,817390.036979917,0,0,0,240896.924938513,158,26109.7,7668121.415,0,0.736950523,0,59.02857143,23106151.51,298950.2179,11.55714286,0.470800253,0.472174367,201912,43590652.832899
2019-03-24,797604.118990727,0,44835.1761890979,0,254998.579113009,158,25949.3,7497258.455,0,0.766813027,0,62.23857143,21355263.97,19327494.28,8.028571429,0.423582882,0.463291403,201913,41393544.9921701
2019-03-31,0,0,161690.215001569,168994.181482689,267056.953244085,143,26487.6,11904196.76,0,0.70961953,0,52.33571429,10777357.82,27014335.66,6.157142857,0.454695499,0.461737003,201914,41856809.764077
2019-04-07,0,0,34451.6183666408,177995.32879795,332805.553677044,143,26436.7,9747469.169,0,0.786398138,0,59.84,9374060.463,26773747.69,6.985714286,0.488068593,0.424030282,201915,43164156.6918283
2019-04-14,0,0,0,185393.432249625,303108.672035448,143,26602.4,7016297.9,1,0.702307007,0,50.42714286,9915669.466,25203431.56,0.514285714,0.49505437,0.414161613,201916,42687704.0059387
2019-04-21,0,0,107966.473763986,178666.698896987,298000.297237192,143,26696,11038672.81,1,0.753035657,0,53.27714286,12233288.75,7375408.871,9.9,0.515666734,0.439931006,201917,42670952.9695962
2019-04-28,1271722.04157401,0,62059.5931978618,318016.906320139,301686.42415966,142,26689.4,9650234.368,1,0.720544011,0,67.40142857,4988624.519,31914242.52,28.75714286,0.457583919,0.468495929,201918,42335734.9387326
